Date,Source_currency,Target_currency,Exchange_rate
2022-01-04,EUR,GGP,0.851199
2022-01-04,EUR,GHS,6.978837
2022-01-04,EUR,GIP,0.851199
2022-01-04,EUR,GMD,59.519798
2022-01-04,EUR,GNF,10296.133806
2022-01-04,EUR,GTQ,8.704586
2022-01-04,EUR,GYD,235.869247
2022-01-04,EUR,HKD,8.79414
2022-01-04,EUR,HNL,27.610091
2022-01-04,EUR,HRK,7.51646
2022-01-04,EUR,HTG,111.428989
2022-01-04,EUR,HUF,362.824494
2022-01-04,EUR,IDR,16187.722495
2022-01-04,EUR,ILS,3.481865
2022-01-04,EUR,IMP,0.851199
2022-01-04,EUR,INR,84.101246
2022-01-04,EUR,IQD,1647.381397
2022-01-04,EUR,IRR,47700.718444
2022-01-04,EUR,ISK,147.609526
2022-01-04,EUR,JEP,0.851199
2022-01-04,EUR,JMD,174.038572
2022-01-04,EUR,JOD,0.79996
2022-01-04,EUR,JPY,131.07171
2022-01-04,EUR,KES,127.649556
2022-01-04,EUR,KGS,95.684469
2022-01-04,EUR,KHR,4597.999549
2022-01-04,EUR,KMF,492.014456
2022-01-04,EUR,KPW,1015.508993
2022-01-04,EUR,KRW,1351.192684
2022-01-04,EUR,KWD,0.341629
2022-01-04,EUR,KYD,0.939936
2022-01-04,EUR,KZT,490.620192
2022-01-04,EUR,LAK,12665.654853
2022-01-04,EUR,LBP,1709.51279
2022-01-04,EUR,LKR,228.827448
2022-01-04,EUR,LRD,164.879209
2022-01-04,EUR,LSL,18.064446
2022-01-04,EUR,LTL,3.331704
2022-01-04,EUR,LVL,0.682523
2022-01-04,EUR,LYD,5.176638
2022-01-04,EUR,MAD,10.468208
2022-01-04,EUR,MDL,20.135458
2022-01-04,EUR,MGA,4468.239784
2022-01-04,EUR,MKD,61.596899
2022-01-04,EUR,MMK,2005.421204
2022-01-04,EUR,MNT,3225.239522
2022-01-04,EUR,MOP,9.055535
2022-01-04,EUR,MRO,402.818408
2022-01-04,EUR,MUR,48.631502
2022-01-04,EUR,MVR,17.433093
2022-01-04,EUR,MWK,918.471313
2022-01-04,EUR,MXN,23.172338
2022-01-04,EUR,MYR,4.723228
2022-01-04,EUR,MZN,72.022373
2022-01-04,EUR,NAD,18.064353
2022-01-04,EUR,NGN,465.712017
2022-01-04,EUR,NIO,39.93223
2022-01-04,EUR,NOK,10.001297
2022-01-04,EUR,NPR,134.33872
2022-01-04,EUR,NZD,1.656143
2022-01-04,EUR,OMR,0.434437
2022-01-04,EUR,PAB,1.127883
2022-01-04,EUR,PEN,4.465421
2022-01-04,EUR,PGK,3.977414
2022-01-04,EUR,PHP,58.200041
2022-01-04,EUR,PKR,199.379677
2022-01-04,EUR,PLN,4.564544
2022-01-04,EUR,PYG,7758.948929
2022-01-04,EUR,QAR,4.108271
2022-01-04,EUR,RON,4.947332
2022-01-04,EUR,RSD,117.56249
2022-01-04,EUR,RUB,84.962009
2022-01-04,EUR,RWF,1142.447715
2022-01-04,EUR,SAR,4.237612
2022-01-04,EUR,SBD,9.117964
2022-01-04,EUR,SCR,15.471853
2022-01-04,EUR,SDG,493.653047
2022-01-04,EUR,SEK,10.266911
2022-01-04,EUR,SGD,1.529751
2022-01-04,EUR,SHP,1.554186
2022-01-04,EUR,SLL,12705.147337
2022-01-04,EUR,SOS,658.952775
2022-01-04,EUR,SRD,24.04273
2022-01-04,EUR,STD,23354.430732
2022-01-04,EUR,SVC,9.869479
2022-01-04,EUR,SYP,2834.954706
2022-01-04,EUR,SZL,18.064825
2022-01-04,EUR,THB,37.516854
2022-01-04,EUR,TJS,12.739261
2022-01-04,EUR,TMT,3.960485
2022-01-04,EUR,TND,3.253576
2022-01-04,EUR,TOP,2.571835
2022-01-04,EUR,TRY,15.139546
2022-01-04,EUR,TTD,7.663225
2022-01-04,EUR,TWD,31.06386
2022-01-04,EUR,TZS,2595.190275
2022-01-04,EUR,UAH,30.783632
2022-01-04,EUR,UGX,3996.10376
2022-01-04,EUR,UYU,50.423783
2022-01-04,EUR,UZS,12208.676075
2022-01-04,EUR,VEF,241273924929.1376
2022-01-04,EUR,VND,25674.89041
2022-01-04,EUR,VUV,127.787886
2022-01-04,EUR,WST,2.933886
2022-01-04,EUR,XAF,656.133441
2022-01-04,EUR,XAG,0.048935
2022-01-04,EUR,XAU,0.000622
2022-01-04,EUR,XCD,3.049405
2022-01-04,EUR,XDR,0.805117
2022-01-04,EUR,XOF,654.99515
2022-01-04,EUR,XPF,119.745484
2022-01-04,EUR,YER,282.367813
2022-01-04,EUR,ZAR,18.096101
2022-01-04,EUR,ZMK,10156.445865
2022-01-04,EUR,ZMW,18.864138
2022-01-04,EUR,ZWL,363.326122
2022-01-05,EUR,GBP,0.834537
2022-01-05,EUR,USD,1.131346
2022-01-05,EUR,AED,4.155551
2022-01-05,EUR,AFN,119.07439
2022-01-05,EUR,ALL,120.943795
2022-01-05,EUR,AMD,546.626133
2022-01-05,EUR,ANG,2.039588
2022-01-05,EUR,AOA,625.241974
2022-01-05,EUR,ARS,116.644985
2022-01-05,EUR,AUD,1.566636
2022-01-05,EUR,AWG,2.036989
2022-01-05,EUR,AZN,1.913529
2022-01-05,EUR,BAM,1.95553
2022-01-05,EUR,BBD,2.284918
2022-01-05,EUR,BDT,97.071275
2022-01-05,EUR,BGN,1.955989
2022-01-05,EUR,BHD,0.42657
2022-01-05,EUR,BIF,2270.046594
2022-01-05,EUR,BMD,1.131346
2022-01-05,EUR,BND,1.53361
